parametro,ponto_monitoramento,oxigenio_dissolvido,dbo,ecoli,nitrogenio,pH,sdt,temp,turbidez
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Temperatura,P1,,,,,,,20,
Temperatura,P1,,,,,,,23,
Temperatura,P1,,,,,,,23,
Temperatura,P1,,,,,,,20,
Temperatura,P1,,,,,,,21.9,
Temperatura,P1,,,,,,,14.6,
Temperatura,P1,,,,,,,21.5,
Temperatura,P1,,,,,,,11.5,
Temperatura,P1,,,,,,,12.5,
Temperatura,P1,,,,,,,20,
Temperatura,P1,,,,,,,18,
Temperatura,P1,,,,,,,20,
Temperatura,P1,,,,,,,14,
Temperatura,P1,,,,,,,15,
Temperatura,P1,,,,,,,15.6,
Temperatura,P1,,,,,,,12,
Temperatura,P1,,,,,,,10,
Temperatura,P1,,,,,,,14,
Temperatura,P1,,,,,,,12,
Escherichia coli,P1,,,58.4,,,,,
Escherichia coli,P1,,,104,,,,,
Escherichia coli,P1,,,280,,,,,
Escherichia coli,P1,,,42,,,,,
Escherichia coli,P1,,,24,,,,,
Escherichia coli,P1,,,20,,,,,
Escherichia coli,P1,,,51,,,,,
Escherichia coli,P1,,,135,,,,,
Escherichia coli,P1,,,200,,,,,
Escherichia coli,P1,,,170,,,,,
Escherichia coli,P1,,,40,,,,,
Escherichia coli,P1,,,120,,,,,
Escherichia coli,P1,,,35,,,,,
Escherichia coli,P1,,,870,,,,,
Escherichia coli,P1,,,70,,,,,
Escherichia coli,P1,,,45,,,,,
Escherichia coli,P1,,,80,,,,,
Escherichia coli,P1,,,79,,,,,
Escherichia coli,P1,,,43,,,,,
Escherichia coli,P1,,,411,,,,,
Escherichia coli,P1,,,62,,,,,
Escherichia coli,P1,,,75,,,,,
Escherichia coli,P1,,,42,,,,,
Escherichia coli,P1,,,140,,,,,
Escherichia coli,P1,,,10,,,,,
Escherichia coli,P1,,,56,,,,,
Escherichia coli,P1,,,203,,,,,
Escherichia coli,P1,,,50,,,,,
Escherichia coli,P1,,,33,,,,,
Escherichia coli,P1,,,124,,,,,
Escherichia coli,P1,,,1120,,,,,
Escherichia coli,P1,,,50,,,,,
Escherichia coli,P1,,,11,,,,,
Escherichia coli,P1,,,31,,,,,
Sólidos Dissolvidos Totais,P1,,,,,,47,,
Sólidos Dissolvidos Totais,P1,,,,,,32,,
Sólidos Dissolvidos Totais,P1,,,,,,32,,
Sólidos Dissolvidos Totais,P1,,,,,,33,,
Sólidos Dissolvidos Totais,P1,,,,,,31,,
Sólidos Dissolvidos Totais,P1,,,,,,29,,
Sólidos Dissolvidos Totais,P1,,,,,,18,,
Sólidos Dissolvidos Totais,P1,,,,,,37,,
Sólidos Dissolvidos Totais,P1,,,,,,47,,
Sólidos Dissolvidos Totais,P1,,,,,,42,,
Sólidos Dissolvidos Totais,P1,,,,,,29,,
Sólidos Dissolvidos Totais,P1,,,,,,38,,
Sólidos Dissolvidos Totais,P1,,,,,,26,,
Sólidos Dissolvidos Totais,P1,,,,,,36,,
Sólidos Dissolvidos Totais,P1,,,,,,116,,
Sólidos Dissolvidos Totais,P1,,,,,,26,,
Sólidos Dissolvidos Totais,P1,,,,,,38,,
Sólidos Dissolvidos Totais,P1,,,,,,29,,
Sólidos Dissolvidos Totais,P1,,,,,,35,,
Sólidos Dissolvidos Totais,P1,,,,,,12,,
Sólidos Dissolvidos Totais,P1,,,,,,24,,
Sólidos Dissolvidos Totais,P1,,,,,,32,,
Sólidos Dissolvidos Totais,P1,,,,,,37,,
Sólidos Dissolvidos Totais,P1,,,,,,33,,
Sólidos Dissolvidos Totais,P1,,,,,,110,,
Sólidos Dissolvidos Totais,P1,,,,,,23,,
Sólidos Dissolvidos Totais,P1,,,,,,41,,
Sólidos Dissolvidos Totais,P1,,,,,,32,,
Sólidos Dissolvidos Totais,P1,,,,,,32,,
Sólidos Dissolvidos Totais,P1,,,,,,17,,
Sólidos Dissolvidos Totais,P1,,,,,,65,,
Sólidos Dissolvidos Totais,P1,,,,,,36,,
Sólidos Dissolvidos Totais,P1,,,,,,10,,
Sólidos Dissolvidos Totais,P1,,,,,,30,,
Sólidos Dissolvidos Totais,P1,,,,,,27,,
Sólidos Dissolvidos Totais,P1,,,,,,24,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.02,,,,
Nitrogênio amoniacal,P1,,,,0.113,,,,
Nitrogênio amoniacal,P1,,,,0.067,,,,
Nitrogênio amoniacal,P1,,,,0.037,,,,
Nitrogênio amoniacal,P1,,,,0.085,,,,
Nitrogênio amoniacal,P1,,,,0.052,,,,
Nitrogênio amoniacal,P1,,,,0.108,,,,
Nitrogênio amoniacal,P1,,,,0.08,,,,
Nitrogênio amoniacal,P1,,,,0.04,,,,
Nitrogênio amoniacal,P1,,,,0.03,,,,
Nitrogênio amoniacal,P1,,,,0.04,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Temperatura,P1,,,,,,,22,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,1,,,,,,
Demanda Bioquímica de Oxigênio,P1,,2,,,,,,
Demanda Bioquímica de Oxigênio,P1,,2,,,,,,
pH,P1,,,,,7.2,,,
pH,P1,,,,,7,,,
pH,P1,,,,,6.7,,,
pH,P1,,,,,7.1,,,
pH,P1,,,,,6.3,,,
pH,P1,,,,,7.7,,,
pH,P1,,,,,7.2,,,
pH,P1,,,,,6.6,,,
pH,P1,,,,,7.5,,,
pH,P1,,,,,6.9,,,
pH,P1,,,,,6.9,,,
pH,P1,,,,,6.8,,,
pH,P1,,,,,7.4,,,
pH,P1,,,,,6.6,,,
pH,P1,,,,,6.4,,,
pH,P1,,,,,7,,,
pH,P1,,,,,6.9,,,
pH,P1,,,,,7,,,
pH,P1,,,,,7.2,,,
pH,P1,,,,,7,,,
pH,P1,,,,,6.6,,,
pH,P1,,,,,7.1,,,
pH,P1,,,,,7.1,,,
pH,P1,,,,,7,,,
pH,P1,,,,,7.2,,,
pH,P1,,,,,7.4,,,
pH,P1,,,,,7.2,,,
pH,P1,,,,,7.2,,,
pH,P1,,,,,7.2,,,
pH,P1,,,,,7.2,,,
pH,P1,,,,,6.8,,,
Oxigênio Dissolvido,P1,5.9,,,,,,,
Oxigênio Dissolvido,P1,6.1,,,,,,,
Oxigênio Dissolvido,P1,6.7,,,,,,,
Oxigênio Dissolvido,P1,6.8,,,,,,,
Oxigênio Dissolvido,P1,6.8,,,,,,,
Oxigênio Dissolvido,P1,6.8,,,,,,,
Oxigênio Dissolvido,P1,7.2,,,,,,,
Oxigênio Dissolvido,P1,7.3,,,,,,,
Oxigênio Dissolvido,P1,7.8,,,,,,,
Oxigênio Dissolvido,P1,8,,,,,,,
Oxigênio Dissolvido,P1,8.1,,,,,,,
Oxigênio Dissolvido,P1,8.1,,,,,,,
Oxigênio Dissolvido,P1,8.2,,,,,,,
Oxigênio Dissolvido,P1,8.2,,,,,,,
Oxigênio Dissolvido,P1,8.3,,,,,,,
Oxigênio Dissolvido,P1,8.4,,,,,,,
Oxigênio Dissolvido,P1,8.5,,,,,,,
Oxigênio Dissolvido,P1,8.7,,,,,,,
Oxigênio Dissolvido,P1,8.7,,,,,,,
Oxigênio Dissolvido,P1,8.8,,,,,,,
Oxigênio Dissolvido,P1,8.9,,,,,,,
Oxigênio Dissolvido,P1,9,,,,,,,
Oxigênio Dissolvido,P1,9.1,,,,,,,
Oxigênio Dissolvido,P1,9.2,,,,,,,
Oxigênio Dissolvido,P1,9.6,,,,,,,
Oxigênio Dissolvido,P1,9.6,,,,,,,
Oxigênio Dissolvido,P1,9.8,,,,,,,
Oxigênio Dissolvido,P1,9.8,,,,,,,
Oxigênio Dissolvido,P1,10,,,,,,,
Oxigênio Dissolvido,P1,10.3,,,,,,,
Oxigênio Dissolvido,P1,10.7,,,,,,,
Oxigênio Dissolvido,P1,11.6,,,,,,,
Turbidez,P1,,,,,,,,1
Turbidez,P1,,,,,,,,1
Turbidez,P1,,,,,,,,2
Turbidez,P1,,,,,,,,3
Turbidez,P1,,,,,,,,3
Turbidez,P1,,,,,,,,3
Turbidez,P1,,,,,,,,3
Turbidez,P1,,,,,,,,4
Turbidez,P1,,,,,,,,4
Turbidez,P1,,,,,,,,4
Turbidez,P1,,,,,,,,4
Turbidez,P1,,,,,,,,4
Turbidez,P1,,,,,,,,5
