P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
58.4,137.6,736.8,20800,1920,240000,1920,51000,1840,4300,24000
104,440,2400,1920,432,100000,424,8400,352,3500,400
280,4.8,192,1920,280,6000,432,3500,104,5400,1300
42,10.4,990,7840,37000,3000,4320,1300,2640,300,520
24,58,24000,1760,1400,240000,81000,24000,24000,7200,1200
20,1400,910,1016,2100,220000,9000,7900,1800,5700,1300
51,90,4000,1752,300,31000,700,5100,1100,6200,2800
135,56,3800,736,15000,58000,24000,51000,930,8600,1700
200,154,8600,1040,5400,24000,6100,50,24000,600,1980
170,980,9600,100000,25000,640,26000,12000,9000,200,105000
40,730,13000,700,27000,24000,41000,13000,27000,700,24000
120,730,820,24000,2400,13000,4600,11200,16000,4500,4000
35,410,200,3000,5800,300000,2400,55000,6500,2000,3100
870,5,7700,9000,1700,1,11000,30,600,110,10000
70,210,1730,46000,4500,2400,4600,2400,3300,1900,30
45,580,950,3500,25000,24000,20000,6700,11200,1300,1900
80,140,1200,1700,18000,17300,80,17300,24000,8100,490
79,250,2300,4100,2,2400,2400,4100,30,1700,980
43,130,2400,2800,2400,130000,1200,4100,326,9800,360
411,53,155,180,1200,240000,20000,10000,450,3260,1800
62,387,4100,980,3900,2000,4300,17000,7700,3260,360
75,120,2500,1200,2400,98000,7700,6100,5100,1100,3650
42,30,1100,6800,1700,3300,2000,2600,24000,490,310
140,240,2100,3600,1900,29100,5170,5600,4100,2220,590
10,200,1410,54000,4880,242000,3450,430,5800,9210,4880
56,50,5800,100000,580,240000,1500,2420,3280,430000,3400
203,191,2250,700,2490,160000,6130,9300,4350,5000,10000
50,547,1300,24000,13000,6000,11200,470000,1000,600,2200
33,160,81000,3000,11000,1700000,6800,9000,13000,2720,1000
124,2400,3100,9000,5800,170000,170000,17300,5800,560,2910
1120,50,3700,46000,8400,24000,15000,14700,430000,2300,910
50,360,1500,3500,210000,120300,11200,12030,58000,,
11,40,6490,1700,10000,24190,12700,350,26000,,
31,308,980,4100,3600,350,11500,4900,5000,,
,91,,2800,5300,59400,,,1200,,
,,,180,2900,,,,,,
,,,980,,,,,,,
,,,1200,,,,,,,
,,,6800,,,,,,,
,,,3600,,,,,,,
,,,54000,,,,,,,
