P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
0.02,0.02,0.02,0.652,0.522,5.25,1.05,1.03,13.3,1.81,1.29
0.113,0.02,0.02,4.74,0.261,4.83,0.581,0.717,4.92,0.587,0.841
0.067,0.128,0.02,0.02,0.085,0.177,0.061,0.073,0.02,0.02,0.085
0.02,0.02,0.02,0.183,0.19,11.5,0.355,0.441,16.5,0.864,0.772
0.02,0.02,0.048,0.9,1.2,6.53,0.484,0.36,2.4,3,2.54
0.02,0.067,0.134,0.53,0.245,0.76,0.612,0.77,0.62,0.28,0.417
0.02,0.02,0.52,0.03,0.502,7.35,0.11,0.275,3.1,1.02,1.79
0.02,0.048,0.146,0.061,0.128,0.35,1.72,1.78,0.56,0.32,0.423
0.02,0.02,0.024,0.49,0.76,9.65,1.43,1.85,4.48,2.21,1.78
0.02,0.02,0.14,0.742,0.92,8.01,0.701,0.416,6.47,1.93,2.16
0.037,0.02,0.02,0.702,0.291,10.9,0.02,8.97,3.92,0.352,0.573
0.085,0.094,0.15,0.185,0.796,12,0.191,0.272,8.53,0.061,1.02
0.052,0.292,0.191,0.383,0.145,0.237,0.57,0.928,0.256,0.171,0.296
0.108,0.069,0.049,0.061,0.464,2.28,0.231,0.373,1.4,0.655,0.791
0.02,0.038,0.025,0.291,0.02,1.53,0.656,0.687,3.22,0.367,0.456
0.02,0.02,0.045,0.02,0.289,0.192,0.108,0.318,1.35,0.653,0.154
0.02,0.02,0.162,0.364,0.098,6.77,1.03,1.1,0.02,0.159,0.318
0.02,0.02,0.02,3.8,0.502,11.3,0.775,0.02,8.76,1.52,1.16
0.02,0.02,0.11,0.033,0.62,15.6,0.541,0.482,0.034,1.77,1.08
0.02,0.02,1.07,0.16,0.023,0.02,0.02,0.02,0.038,0.64,0.83
0.02,0.02,0.08,1.3,0.15,0.33,0.12,0.21,0.02,0.41,0.45
0.02,0.02,0.04,0.16,0.13,2.02,0.24,0.56,0.24,0.15,1.86
0.02,0.02,0.1,0.16,0.19,20.8,3.09,1.97,0.53,0.23,0.43
0.08,0.02,0.07,0.86,0.58,30.5,6,0.47,27.6,0.24,0.48
0.02,0.07,0.27,3,0.5,9.52,2.79,2.8,1.86,2.6,9.75
0.02,0.03,0.1,2.5,1.55,0.5,0.38,0.49,8.28,0.51,0.53
0.04,0.02,0.1,0.19,0.28,3,0.5,1.3,0.72,4.23,3.15
0.03,0.02,0.2,0.7,0.4,20.4,1.1,1.2,2.5,0.49,0.72
0.02,0.03,0.1,0.8,0.7,11,0.7,1.2,2.8,0.5,0.3
0.02,0.02,0.02,0.3,0.4,9,0.9,1.3,2.7,2.2,2
0.04,0.02,0.3,0.3,0.4,2.5,0.9,1.3,7.5,1,2.5
0.02,0.02,0.09,1.1,0.4,0.5,0.3,0.2,2.3,1.2,1.2
,0.02,0.208,0.2,0.2,7.5,0.468,0.479,0.08,1.3,1.6
,,,0.326,0.355,,,,0.699,0.2,0.3
,,,,,,,,,0.434,0.434
