P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
47,65,97,87,107,264,120,132,627,136,134
32,64,91,105,109,255,116,128,295,126,124
32,50,73,130,77,220,82,93,442,102,122
33,67,106,86,83,92,85,90,94,98,104
31,49,87,85,85,86,130,88,86,85,99
29,39,66,216,81,224,86,98,298,162,127
18,25,62,72,253,4092,139,81,980,79,76
37,59,118,106,151,190,136,121,247,142,131
47,81,138,95,128,128,120,133,154,101,146
42,55,104,114,135,167,58,150,217,110,138
29,46,88,102,103,119,91,92,120,110,131
38,50,73,72,78,197,90,101,288,116,108
26,71,60,84,89,210,79,86,389,114,140
36,54,75,103,79,233,94,86,639,113,98
116,50,96,82,46,222,120,112,510,142,125
26,43,79,89,76,168,99,105,421,128,106
38,52,83,86,100,179,58,108,321,118,96
29,46,70,114,74,55,88,59,88,86,92
35,53,83,48,98,183,140,85,203,100,95
12,34,26,59,106,147,62,110,92,227,105
24,13,79,85,55,46,35,49,71,66,321
32,42,65,93,74,72,95,82,43,73,70
37,53,78,78,76,122,132,98,359,66,115
33,45,73,111,118,283,95,155,244,101,117
110,66,66,97,76,199,121,89,219,151,128
23,57,89,96,120,324,102,122,417,108,134
41,46,69,77,104,113,114,96,117,123,103
32,52,81,119,86,194,123,108,144,103,195
32,57,104,73,124,298,146,97,756,107,113
17,53,99,61,83,230,76,71,250,115,143
65,73,119,31,26,280,138,122,282,136,176
36,35,83,57,109,101,90,163,111,88,142
10,24,32,40,80,244,73,90,202,123,42
30,50,61,74,10294,262,73,77,322,64,75
27,34,87,88,78,179,115,124,208,80,168
24,33,58,64,77,210,77,102,212,152,83
,,,,44,235,55,59,71,130,38
,,,,44,55,,,45,63,
,,,,,210,,,,,
