P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
10.2,14.5,16,16,17.4,19.1,17.4,16.6,16.2,15.7,15.7
12.7,13.4,13.8,13.8,13.2,12.9,15.5,13.4,13.3,13.3,13.3
16.1,16.8,19.9,24,15,15.7,18.6,15.6,15.6,15.7,15.8
18.9,20.4,25.6,19.8,18.3,18.6,21,18.8,19.9,15.9,20
13.6,16.7,20.5,21,21,21,16.1,21,21,26.3,23
14.5,15.3,20,16.6,15.1,16.1,19.5,16.2,17.5,21,17.9
15.5,17.5,20,19,19.5,19.5,19.2,26,20,17.3,20
18,20,20.5,20.2,19.6,19.4,18.7,19.4,19.1,20,19.4
15,20.4,20,18.1,18.7,18.7,18.7,17.6,17.5,19.1,18
20,23.5,25,18.9,18.3,18.3,26.1,18.1,19.8,17.5,18.8
16,17,19,25.7,26.4,24.9,25,26.2,25.1,18.2,28.5
22.8,26.8,29.8,24,24.3,28.1,27.2,24.8,26.9,26.2,23.8
11,12,15,24.9,30.6,27,14.4,27.9,26.3,23.8,26.5
22.5,26,28,16.2,14.5,15.3,23.4,14.8,13.2,26.1,15.9
9,11.2,12,23.3,22.9,23.3,24.2,24,24.1,14.3,28.4
25.3,28.8,30.9,23.5,23.8,24.2,23.8,24,23.9,24.1,15.7
14,16,20,22.4,23.8,24.1,24.7,24,24.5,24.6,32.4
20,24,28.3,24.2,23.6,24.5,28,24.7,24.6,24.9,21.6
22,25.3,27.1,26.3,27,27.8,15.7,26.4,24.5,25.5,26.2
20,23,26,16.8,16.3,15.5,28.5,15.7,15.9,27.3,23.8
23,26,28.5,28.8,28.6,29.1,19.8,28.2,28.7,26.5,28.3
23,25.1,27.4,19.7,19.7,20.6,24.1,20.2,20.7,15.4,29.5
20,22,24,26.1,26.7,27,26.7,26.1,23.4,29.4,27.9
21.9,23.9,26.4,27.5,27.1,24.4,26.3,26.3,23.6,27.2,28.6
14.6,15.9,18.7,26.1,25.8,28.1,27.9,26.6,29,27.6,24.3
21.5,22.3,24.1,20.5,28,27.3,28.8,28.1,29.1,19.9,23
11.5,11.3,14,27.5,28.5,27.9,26.1,28.6,28.7,27.7,18.4
12.5,12.6,14.3,27.2,26.2,27.2,24.1,26.4,29,25.4,27.1
20,20.5,25.5,20.4,24.1,23.1,22,24.4,22.3,24.8,15.7
18,19.5,24,18.9,21.7,20.2,18.1,21.4,19.2,26.4,15.3
20,19.5,22,24.1,18,18.2,19.6,18.2,18.7,23.6,23.8
14,14,15,15.5,19.2,19.3,26.4,20.2,16.4,28.5,15.2
15,22.2,26.5,14.3,26.7,25.8,15.4,27.2,25.5,25.2,23.3
15.6,16.6,17.4,23,19,15.5,14.6,15.4,16.1,25.6,16.6
12,14.5,16,14.8,14.5,14.6,23.6,14.8,15.1,25,27.2
10,10.5,11.6,22.1,23.1,23.7,14.8,23.9,23.7,25.6,15
14,15,16,15.7,15,15.5,22.7,14.9,14.1,26.1,13.7
12,16,18,26.7,22.7,23.6,16.1,21.4,20.6,28.4,16.8
,,,14,15.7,17.4,26.6,16,16,27.2,17.2
,,,14.6,26.2,32,14,26.5,25.3,27.6,
,,,16.6,30,14,13.7,14,14,27.3,
,,,16.7,14,29.5,16.6,13.6,14.2,27.4,
,,,,13.4,15.9,17.1,15.6,15,27.2,
,,,,16.4,18.9,,17.6,17.9,26.7,
,,,,18.4,18.4,,,,26.5,
,,,,,,,,,28.5,
,,,,,,,,,26,
,,,,,,,,,27.9,
,,,,,,,,,27.8,
,,,,,,,,,28.5,
,,,,,,,,,28,
,,,,,,,,,26.3,
,,,,,,,,,23.8,
,,,,,,,,,21.2,
,,,,,,,,,18.2,
,,,,,,,,,19.6,
,,,,,,,,,28.1,
,,,,,,,,,15.4,
,,,,,,,,,14.9,
,,,,,,,,,23.8,
,,,,,,,,,15.1,
,,,,,,,,,22.4,
,,,,,,,,,30,
,,,,,,,,,16.1,
,,,,,,,,,26.4,
,,,,,,,,,14.6,
,,,,,,,,,13.7,
,,,,,,,,,16.3,
,,,,,,,,,17.8,
,,,,,,,,,29,
