P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
1,2,3,16,17,12,9,15,20,5,12
1,3,11,16,18,17,17,21,20,15,17
2,4,13,17,18,18,20,21,22,17,17
3,4,13,18,19,21,20,21,23,18,19
3,4,16,18,22,21,22,25,23,19,20
3,5,16,18,23,23,23,25,25,19,21
3,5,17,20,23,23,23,26,27,20,21
4,5,17,23,23,25,27,27,27,20,22
4,5,17,26,27,26,27,27,28,21,28
4,6,19,26,27,26,28,28,33,21,28
4,7,20,28,28,27,32,29,35,23,29
4,8,20,28,29,30,34,29,35,29,30
5,9,23,28,30,35,34,32,35,30,31
5,10,27,32,32,35,34,33,45,34,31
5,11,29,34,33,36,35,36,46,35,36
5,13,29,36,35,42,35,38,51,36,38
5,13,30,37,36,61,39,42,59,42,42
5,14,33,42,36,63,46,43,63,43,48
6,14,33,42,37,71,48,48,70,43,52
6,16,40,42,44,73,49,52,74,46,53
6,18,41,51,53,78,49,53,78,52,53
7,20,45,55,55,91,65,54,81,59,57
7,21,48,58,57,103,70,61,82,63,63
8,22,51,69,68,106,70,68,85,76,65
9,25,53,82,69,108,70,71,92,78,70
13,30,54,102,71,117,75,76,104,87,80
13,35,89,187,75,131,99,99,113,97,109
,,,,107,135,112,111,167,121,112
