P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
7.2,6.8,7.4,6.7,6.8,6.7,6.7,6.5,6.6,6.4,6.5
7,7,7,7.5,7.2,7.1,6.1,7.1,7,7,7
6.7,6.6,6.8,6.2,5.9,6.1,7,6.1,6.1,6.1,6.2
7.1,6.8,6.6,7,7,7,6.8,7,7,7,7
6.3,6.5,6.7,6.5,6.6,6.9,6.5,6.8,6.6,7,6.6
7.7,7.9,7.5,6.5,6.5,6.8,6.1,6.5,7,6.8,6.5
7.2,7.2,6.9,6.4,6,6.1,6.1,6.3,6.1,6.5,6.3
6.6,6.8,7.3,5.8,6.1,6.3,6.5,6.6,6.5,6.3,6.6
7.5,6.9,7.1,6.8,6.7,6.4,6,6.5,6.5,6.6,6.6
6.9,7.1,6.7,6,6,6,6.8,6,6,6.5,6
6.9,6.4,6.8,6.5,6.6,6.8,6.6,6.8,6.5,6,6.8
6.8,6.7,7.4,6.6,6.6,6.4,6.4,6.6,6.6,6.6,6.5
7.4,7.2,6.6,6.9,6.4,6.4,6.4,6.4,6.4,6.5,7.5
6.6,6.8,7.2,6.4,6.3,6.5,6.6,6.8,6.5,6.4,6.5
6.4,6.5,6.5,6.4,6.5,6.6,7.2,6.5,6.6,6.4,6.7
7,7,7,7.4,7.2,8,6.4,6.9,7.5,6.6,6.5
6.9,7.5,7.2,6.4,6.4,6,6.6,6.4,6.3,7.2,6.7
7,6.5,7,6.8,6.8,7.1,6.4,6.6,6.6,7.2,6.5
7.2,7.3,7.5,6.5,6.5,6.6,6.5,6.4,6.4,6.4,6.7
7,7,7,6.9,6.6,6.9,7,6.3,6.9,6.6,7.2
6.6,6.7,6.5,5.9,6.4,7.2,6.7,6.5,7,6.6,6.6
7.1,7.3,6.9,6.7,6.5,6.7,6.7,6.7,6.7,6.8,6.5
7.1,7.3,7.3,6.8,6.8,6.9,6.5,6.7,7.2,6.5,6.5
7,7,7,7,6.5,6.8,6.5,6.7,6.8,7.2,6.6
7.2,7.5,7.7,6.8,6.3,7.1,7,6.4,6.9,6.9,6.7
7.4,6.6,6.7,7,7,7,6.7,6.5,6.5,7,6.6
7.2,6.8,7.6,6.6,6.6,6.4,6.4,6.6,6.2,6.6,6.8
7.2,7.4,6.9,6.6,6.4,6.9,6.8,6.5,6.4,6.5,6.7
7.2,7.4,6.8,6.8,6.6,6.9,6.6,6.8,6.8,6.3,6.7
7.2,7.4,6.8,6.9,6.9,6.7,6.8,6.6,6.8,6.7,6.7
6.8,7.6,6.7,6.7,6.9,6.8,6.5,6.9,6.8,6.8,7
,,,6.9,6.6,7.1,6.7,6.6,6.9,6.9,6.6
,,,6.6,6.5,7.1,6.7,6.8,6.8,6.8,7
,,,7,6.5,6.7,7,6.6,6.7,6.7,6.4
,,,6.9,7,7,6.5,7,7,6.8,6.3
,,,7.3,6.7,6.8,7.3,6.5,6.6,6.8,6.4
,,,6.4,6.9,7.3,6.4,7.5,7.2,6.7,
,,,6.8,7.2,7.3,6.6,6.4,6.3,6.8,
,,,6.7,6.4,6.5,6.5,6.7,6.6,6.8,
,,,,6.6,6.6,,6.5,6.7,6.7,
,,,,6.6,6.6,,,,6.9,
,,,,,,,,,6.8,
,,,,,,,,,6.7,
,,,,,,,,,6.7,
,,,,,,,,,6.8,
,,,,,,,,,6.9,
,,,,,,,,,6.7,
,,,,,,,,,6.5,
,,,,,,,,,6.5,
,,,,,,,,,6.4,
,,,,,,,,,6.5,
,,,,,,,,,6.6,
,,,,,,,,,6.6,
,,,,,,,,,6.8,
,,,,,,,,,6.6,
,,,,,,,,,6.7,
,,,,,,,,,6.7,
,,,,,,,,,6.8,
,,,,,,,,,6.5,
,,,,,,,,,7,
,,,,,,,,,6.5,
,,,,,,,,,6.4,
,,,,,,,,,6.6,
,,,,,,,,,7,
